写景,山水,黄河,励志,哲理 白日依山尽，黄河入海流。欲穷千里目，更上一层楼。
咏物,抒情,思念 红豆生南国，春来发几枝。愿君多采撷，此物最相思。
思乡,写景,梅花 君自故乡来，应知故乡事。来日绮窗前，寒梅著花未？
写山,写景 空山不见人，但闻人语响。返景入深林，复照青苔上。
月亮 独坐幽篁里，弹琴复长啸。深林人不知，明月来相照。
送别,友情 山中相送罢，日暮掩柴扉。春草明年绿，王孙归不归？
友情 绿蚁新醅酒，红泥小火炉。晚来天欲雪，能饮一杯无？
月亮,思乡 床前明月光，疑是地上霜。举头望明月，低头思故乡。
哲理,惜时 向晚意不适，驱车登古原。夕阳无限好，只是近黄昏。
思乡 岭外音书断，经冬复历春。近乡情更怯，不敢问来人。
写人,哲理 功盖三分国，名成八阵图。江流石不转，遗恨失吞吴。
写景,月亮,写水,思乡 移舟泊烟渚，日暮客愁新。野旷天低树，江清月近人。
写景 春眠不觉晓，处处闻啼鸟。夜来风雨声，花落知多少。
闺怨 打起黄莺儿，莫教枝上啼。啼时惊妾梦，不得到辽西。
写景,冬天,写雪,山水,写鸟 千山鸟飞绝，万径人踪灭。孤舟蓑笠翁，独钓寒江雪。
秋天 怀君属秋夜，散步咏凉天。空山松子落，幽人应未眠。
冬天,写景,写雪 终南阴岭秀，积雪浮云端。林表明霁色，城中增暮寒。
写人 松下问童子，言师采药去。只在此山中，云深不知处。
离别 归山深浅去，须尽丘壑美。莫学武陵人，暂游桃源里。
送别,山水 苍苍竹林寺，杳杳钟声晚。荷笠带斜阳，青山独归远。
抒情 泠泠七弦上，静听松风寒。古调虽自爱，今人多不弹。
送别 孤云将野鹤，岂向人间住。莫买沃洲山，时人已知处。
思念 昨夜裙带解，今朝蟢子飞。铅华不可弃，莫是藁砧归。
送别,写雨,抒情 寒雨连江夜入吴，平明送客楚山孤。洛阳亲友如相问，一片冰心在玉壶。
春天,闺怨 闺中少妇不知愁，春日凝妆上翠楼。忽见陌头杨柳色，悔教夫婿觅封侯。
思乡 独在异乡为异客，每逢佳节倍思亲。遥知兄弟登高处，遍插茱萸少一人。
豪放,边塞,战争 葡萄美酒夜光杯，欲饮琵琶马上催。醉卧沙场君莫笑，古来征战几人回？
写景 寂寂花时闭院门，美人相并立琼轩。含情欲说宫中事，鹦鹉前头不敢言。
思乡,边塞 故园东望路漫漫，双袖龙钟泪不干。马上相逢无纸笔，凭君传语报平安。
写景,写水,长江,地名,离别,友情,送别 故人西辞黄鹤楼，烟花三月下扬州。孤帆远影碧空尽，唯见长江天际流。
写山,长江,地名 朝辞白帝彩云间，千里江陵一日还。两岸猿声啼不住，轻舟已过万重山。
冬天,月亮,边塞,思念,战争 回乐峰前沙似雪，受降城外月如霜。峰一作：回乐烽）不知何处吹芦管，一夜征人尽望乡。
咏史怀古 乘兴南游不戒严，九重谁省谏书函。春风举国裁宫锦，半作障泥半作帆。
写人 云母屏风烛影深，长河渐落晓星沉。嫦娥应悔偷灵药，碧海青天夜夜心。
写雨,写景,思念,爱情 君问归期未有期，巴山夜雨涨秋池。何当共剪西窗烛，却话巴山夜雨时。
写景,思念,友情 嵩云秦树久离居，双鲤迢迢一纸书。休问梁园旧宾客，茂陵秋雨病相如。
离别 多情却似总无情，唯觉樽前笑不成。蜡烛有心还惜别，替人垂泪到天明。
离别 娉娉袅袅十三余，豆蔻梢头二月初。春风十里扬州路，卷上珠帘总不如。多情却似总无情，唯觉樽前笑不成。蜡烛有心还惜别，替人垂泪到天明。
写景,友情 青山隐隐水迢迢，秋尽江南草未凋。二十四桥明月夜，玉人何处教吹箫？
写景,秋天,闺怨 银烛秋光冷画屏，轻罗小扇扑流萤。天阶夜色凉如水，卧看牵牛织女星。
爱国 清时有味是无能，闲爱孤云静爱僧。欲把一麾江海去，乐游原上望昭陵。
咏史怀古,战争 折戟沉沙铁未销，自将磨洗认前朝。东风不与周郎便，铜雀春深锁二乔。
咏史怀古,爱国,写景 烟笼寒水月笼沙，夜泊秦淮近酒家。商女不知亡国恨，隔江犹唱《后庭花》。
黄河,边塞 岁岁金河复玉关，朝朝马策与刀环。三春白雪归青冢，万里黄河绕黑山。
咏史怀古,地名 谁谓伤心画不成，画人心逐世人情。君看六幅南朝事，老木寒云满故城。
写景,山水,抒情 独怜幽草涧边生，上有黄鹂深树鸣。春潮带雨晚来急，野渡无人舟自横。
写水,写景,抒情 隐隐飞桥隔野烟，石矶西畔问渔船。桃花尽日随流水，洞在清溪何处边。
月亮,爱情,思念 别梦依依到谢家，小廊回合曲阑斜。多情只有春庭月，犹为离人照落花。
